R,yc
4,3.4388
4,3.2423
4,3.2449
4,3.3406
4,3.2449
4,3.1466
4,3.2372
4,3.1466
4,3.2397
8,3.1416
8,3.2423
8,3.2475
8,3.9178
8,4.2246
8,4.4144
8,4.8183
8,5.1055
8,5.297
8,5.314
4,5.5962
4,5.6984
4,5.6943
4,5.5957
4,5.323
4,5.3098
4,5.2073
4,5.0073
4,4.8299
4,4.8105
4,4.6254
4,4.6064
4,4.425
4,4.3302
4,4.2217
4,4.0281
4,4.0286
4,3.9425
4,3.826
4,3.8347
8,3.7305
8,3.6357
8,3.7394
8,4.2116
8,4.5125
8,4.7275
8,5.0028
8,5.3013
8,5.3994
8,5.5024
8,5.7035
8,5.792
8,5.8251
8,5.9697
8,6.0075
8,6.0967
8,6.0869
8,6.1114
8,6.1752
8,6.2933
8,6.2732
8,6.2882
8,6.2933
8,6.2933
8,6.2933
8,6.2832
8,6.3865
8,6.3034
8,6.4691
8,6.2882
8,6.3967
8,6.3865
8,6.2983
8,6.4743
8,6.3916
8,6.3865
8,6.3967
8,6.3712
8,6.3916
8,6.3916
4,6.3865
4,6.4795
4,6.3034
4,6.1801
4,6.0177
4,5.8807
4,5.8111
4,5.5912
4,5.5157
4,5.2031
4,5.306
4,5.0229
4,5.0028
4,4.8221
4,4.6143
4,4.6143
4,4.527
4,4.3297
4,4.2251
4,4.2149
8,4.0346
8,4.0286
8,4.1263
8,4.3198
8,4.7237
8,5.0149
8,5.2073
8,5.2933
8,5.4888
8,5.6097
4,5.6893
4,5.9095
4,5.7971
4,5.6893
4,5.5069
4,5.4211
4,5.2975
4,5.105
4,5.0229
4,4.9126
8,4.7086
8,4.7162
8,4.6217
8,4.9126
8,5.2073
8,5.306
8,5.502
8,5.6052
8,5.7781
8,5.8018
8,5.8953
8,5.9979
8,6.0032
8,6.0675
8,6.1163
8,6.1752
8,6.2782
8,6.1999
8,6.2832
8,6.2882
8,6.2882
8,6.2933
8,6.3762
8,6.2882
8,6.2978
8,6.3921
8,6.3762
8,6.3813
8,6.3916
8,6.2983
4,6.3865
4,6.464
4,6.3135
4,6.1801
4,6.106
4,5.8953
4,5.6052
4,5.703
4,5.498
4,5.2156
4,5.199
4,5.1214
4,5.0033
4,4.8183
4,4.618
4,4.6323
4,4.4109
4,4.3337
4,4.3164
4,4.2212
8,4.0286
8,3.9394
8,4.0222
8,4.5161
8,4.7124
8,4.9087
8,5.1132
8,5.3951
8,5.498
8,5.6137
8,5.7832
8,5.7925
8,5.8953
8,6.0027
8,5.9984
8,6.1703
8,6.0918
8,6.1016
8,6.2832
8,6.2882
8,6.1895
8,6.2933
8,6.3762
8,6.2882
8,6.2983
8,6.2933
8,6.3865
8,6.3712
8,6.3865
8,6.3916
4,6.3916
4,6.2882
4,6.3813
4,6.195
4,5.9936
4,5.7971
4,5.8059
4,5.6052
4,5.4167
4,5.3956
4,5.1091
4,5.1132
4,4.8144
4,4.8144
4,4.7237
4,4.6106
4,4.3372
4,4.418
4,4.2246
4,4.1202
8,4.0351
8,3.9236
8,4.0286
8,4.4246
8,4.7086
8,4.9205
8,5.1055
8,5.297
8,5.5064
8,5.5873
4,5.7035
4,5.8854
4,5.8018
4,5.6137
4,5.5069
4,5.4037
4,5.2078
4,5.105
4,5.0149
4,4.8144
8,4.72
8,4.72
8,4.6291
8,4.9008
8,5.1091
8,5.2975
8,5.502
8,5.6052
8,5.5868
8,5.8064
8,5.8996
8,6.0032
8,6.0723
8,5.9936
8,6.19
8,6.1212
8,6.1599
8,6.2933
8,6.2782
8,6.2933
8,6.1851
8,6.3813
8,6.2832
8,6.2983
8,6.2983
8,6.3967
8,6.3762
8,6.3916
8,6.3762
8,6.2933
8,6.3967
8,6.4795
8,6.3865
8,6.2933
8,6.4018
8,6.4691
8,6.3869
8,6.3967
8,6.2928
8,6.4748
4,6.4018
4,6.3967
4,6.3762
4,6.19
4,6.0172
4,5.9792
4,5.6097
4,5.6893
4,5.4172
4,5.4124
8,5.105
8,5.1173
8,5.1096
8,5.2073
8,5.4124
8,5.4937
8,5.774
8,5.7167
8,5.8953
8,5.8953
8,6.0767
8,5.9984
8,6.082
8,6.1016
8,6.2732
8,6.19
8,6.2049
8,6.2782
8,6.2832
8,6.2933
8,6.3865
8,6.2933
8,6.3813
8,6.2978
8,6.2933
8,6.3967
8,6.4696
8,6.2933
8,6.3916
8,6.3967
4,6.3712
4,6.3813
4,6.3916
4,6.1999
4,6.0075
4,5.8906
4,5.6989
4,5.6137
4,5.4937
4,5.3013
4,5.1091
4,5.1132
4,4.9131
4,4.8183
4,4.7162
4,4.5229
4,4.527
4,4.3233
4,4.2183
4,4.1396
8,4.1235
8,3.9236
8,4.0318
8,4.4215
8,4.618
8,5.0149
8,5.1948
8,5.297
8,5.5024
8,5.6002
4,5.6989
4,5.9048
4,5.792
4,5.6097
4,5.5868
4,5.4042
4,5.3055
4,5.1214
4,4.9087
4,4.921
4,4.7232
4,4.7124
4,4.4286
4,4.4286
4,4.3198
4,4.2246
4,4.0286
4,3.9362
4,3.9241
4,3.8347
8,3.8322
8,3.6411
8,3.921
8,4.1363
8,4.5125
8,4.8067
8,5.0189
8,5.2031
8,5.4042
8,5.502
4,5.6852
4,5.8064
4,5.7874
4,5.5113
4,5.502
4,5.4086
4,5.2031
4,5.1132
4,4.9166
4,4.8105
8,4.7313
8,4.5089
8,4.7162
8,4.9166
8,5.105
8,5.2203
8,5.4932
8,5.4893
8,5.792
8,5.708
4,5.909
4,5.8812
4,5.9792
4,5.8157
4,5.6938
4,5.5069
4,5.3055
4,5.3055
4,5.1096
4,4.9166
8,4.9087
8,4.7162
8,4.72
8,5.0149
8,5.199
8,5.3145
8,5.5912
8,5.6989
8,5.6984
8,5.8064
8,5.9001
8,6.0962
8,5.9984
8,6.1653
8,6.1016
8,6.1851
8,6.1851
8,6.2882
8,6.195
8,6.2933
8,6.2832
8,6.3762
8,6.3034
8,6.2782
8,6.3916
8,6.2933
8,6.3865
8,6.3865
8,6.3813
8,6.3865
4,6.3865
4,6.2983
4,6.3712
4,6.195
4,6.0027
4,5.8906
4,5.7218
4,5.6047
4,5.4937
4,5.3013
8,5.2198
8,5.105
8,5.0194
8,5.2073
8,5.4932
8,5.5024
8,5.6002
8,5.7971
8,5.8906
8,5.8949
8,5.984
8,6.195
8,6.0177
8,6.1801
8,6.1851
8,6.2732
8,6.195
8,6.2094
8,6.2832
8,6.2882
4,6.3712
4,6.3813
4,6.2983
4,6.0032
4,5.9936
4,5.7971
4,5.792
4,5.5157
4,5.3908
4,5.323
4,5.1132
4,5.0068
4,4.8183
4,4.8144
4,4.6217
4,4.6106
4,4.4286
4,4.2178
4,4.2318
4,4.1297
4,4.0286
4,3.9299
4,3.8352
4,3.8291
4,3.6377
4,3.6357
4,3.5398
4,3.5398
4,3.442
4,3.5398
4,3.3352
4,3.3379
4,3.3432
4,3.3379
4,3.2428
4,3.1466
4,3.3432
4,3.2419
4,3.1416
4,3.2402
8,3.1466
8,3.1441
8,3.4355
8,3.826
8,4.3263
8,4.513
8,4.8183
8,5.0923
8,5.3018
8,5.4037
4,5.6012
4,5.6934
4,5.7035
4,5.5157
4,5.5069
4,5.1907
4,5.2198
4,5.0108
4,5.0189
4,4.7204
8,4.7119
8,4.512
8,4.5275
8,4.9121
8,5.0973
8,5.306
8,5.4124
8,5.5912
8,5.6898
8,5.8153
4,5.8859
4,5.8906
4,5.9979
4,5.7976
4,5.6989
4,5.5103
4,5.3018
4,5.2975
4,5.1209
4,4.9289
8,5.0068
8,4.7044
8,4.8144
8,5.0068
8,5.2041
8,5.4081
8,5.5015
8,5.6012
8,5.8106
8,5.8953
8,5.8859
8,6.0869
8,6.1016
8,6.0723
8,6.1055
8,6.2933
8,6.1855
8,6.2983
8,6.2832
8,6.2882
8,6.2933
8,6.3809
8,6.3084
8,6.3767
8,6.2933
8,6.4743
8,6.2882
8,6.3809
8,6.4023
8,6.4743
4,6.386
4,6.2983
4,6.3869
4,6.1994
4,5.9893
4,5.8859
4,5.8059
4,5.6002
4,5.5113
4,5.2975
4,5.224
4,5.1086
4,4.9131
4,4.9043
4,4.618
4,4.5347
4,4.5084
4,4.4286
4,4.2251
4,4.1297
8,4.124
8,3.9362
8,4.1198
8,4.3203
8,4.7195
8,4.9948
8,5.2156
8,5.3951
8,5.5024
8,5.6047
4,5.7976
4,5.8812
4,5.792
4,5.6227
4,5.5868
4,5.4177
4,5.2965
4,5.1301
4,5.0149
4,4.9013
4,4.8144
4,4.618
4,4.5374
4,4.512
4,4.2284
4,4.2251
4,4.123
4,4.0383
4,3.9268
4,3.9215
4,3.7335
4,3.7364
4,3.6416
4,3.5342
4,3.5427
4,3.4383
4,3.538
4,3.3379
4,3.3459
4,3.4301
4,3.248
4,3.2444
4,3.3326
4,3.248
4,3.1542
4,3.2289
4,3.1466
4,3.3326
4,3.1517
4,3.1416
8,3.2428
8,3.1492
8,3.4328
8,3.7344
8,4.214
8,4.6143
8,4.8144
8,5.1014
8,5.3018
8,5.4037
4,5.6989
4,5.6092
4,5.7874
4,5.6012
4,5.4037
4,5.3135
4,5.1999
4,5.0269
4,4.9121
4,4.8183
8,4.7129
8,4.6143
8,4.5229
8,4.9053
8,5.1045
8,5.3103
8,5.4081
8,5.5957
8,5.7976
8,5.8859
8,5.8944
8,5.8859
8,6.1016
8,6.0918
8,6.1855
8,6.1065
8,6.2782
8,6.2882
8,6.1895
8,6.386
8,6.2933
8,6.2882
8,6.3767
8,6.3911
8,6.3921
8,6.3911
8,6.3869
8,6.3767
8,6.3911
8,6.3869
4,6.4795
4,6.3911
4,6.2832
4,6.3034
4,5.9979
4,5.8906
4,5.8023
4,5.5912
4,5.5024
